user_id,n_features,max_weight,mean_weight
75122,22,0.3398,0.2025
75219,24,0.3126,0.1938
75427,93,0.2042,0.1
75506,19,0.3612,0.2159
75926,5,0.6112,0.4171
76230,41,0.244,0.151
76483,59,0.3209,0.1217
76690,20,0.3847,0.2105
76842,18,0.5171,0.222
76912,13,0.5387,0.2502
77187,34,0.2604,0.1629
77702,32,0.4689,0.1582
78727,25,0.3027,0.1941
79093,58,0.2709,0.121
79235,17,0.3741,0.2268
79371,30,0.2887,0.1765
79578,55,0.2235,0.1289
79930,26,0.3441,0.1887
80249,15,0.3765,0.2447
80844,21,0.4107,0.2039
80944,252,0.4191,0.0477
81052,97,0.2305,0.0953
81078,31,0.316,0.1719
81280,42,0.3924,0.1427
81608,47,0.2251,0.1407
81850,3,0.7133,0.5681
81868,21,0.3771,0.205
82065,20,0.4438,0.2115
82303,42,0.3368,0.1385
82558,14,0.381,0.2559
82838,5,0.5106,0.4413
83479,100,0.37,0.0916
83507,20,0.3305,0.2152
84107,24,0.3182,0.1914
84125,37,0.2824,0.1568
84196,3,0.7622,0.5497
84336,46,0.2299,0.1406
84626,41,0.2549,0.1503
84811,18,0.4227,0.2248
85029,104,0.5217,0.0774
85296,69,0.2168,0.1149
85388,27,0.2952,0.1851
85500,5,0.6465,0.4327
85578,34,0.2794,0.1624
86448,19,0.3682,0.2131
86480,11,0.4292,0.2893
86673,67,0.3345,0.1096
86759,22,0.411,0.2021
86889,22,0.506,0.1949
87390,2,0.8319,0.6934
87714,22,0.5019,0.192
87995,38,0.2821,0.1534
88171,15,0.4001,0.2457
88351,50,0.2025,0.1359
88524,25,0.3144,0.1897
88539,42,0.3615,0.1438
88638,36,0.2436,0.1611
88773,31,0.3541,0.1601
89070,51,0.3624,0.1276
89097,8,0.5441,0.3346
89331,113,0.2655,0.0866
89518,22,0.3592,0.2048
90113,44,0.275,0.141
90696,5,0.5644,0.441
91234,5,0.6142,0.4373
91295,34,0.2502,0.1639
91439,31,0.2711,0.1739
91525,7,0.665,0.3485
91581,21,0.3455,0.2038
91758,40,0.2239,0.1546
91759,91,0.3409,0.0945
91992,33,0.3244,0.1599
92391,41,0.2556,0.1484
92641,42,0.284,0.1475
92654,61,0.3881,0.1155
92737,34,0.2452,0.1633
92787,14,0.4167,0.2492
92839,8,0.5525,0.3381
93039,20,0.3815,0.2104
93583,122,0.2042,0.0863
93643,41,0.2491,0.1502
93723,49,0.3395,0.1323
93984,6,0.5813,0.394
94895,15,0.326,0.253
95521,117,0.332,0.0871
96081,23,0.2819,0.1998
96146,2,0.851,0.6881
96463,39,0.2504,0.1523
96853,5,0.5304,0.4421
96893,6,0.5687,0.3943
97170,9,0.5922,0.3074
97235,8,0.4812,0.3404
97492,12,0.375,0.2816
97638,53,0.2402,0.1325
97842,23,0.2863,0.2012
97940,11,0.3662,0.2978
98205,9,0.4901,0.3206
98234,16,0.3702,0.2353
98645,8,0.4789,0.3421
99009,20,0.3174,0.2139
99103,16,0.4032,0.2376
99483,40,0.2271,0.1509
99496,2,0.9355,0.6444
99901,21,0.3573,0.2062
100072,32,0.6787,0.1407
100397,56,0.3603,0.1239
100540,16,0.4569,0.2351
100565,65,0.1964,0.1194
100618,4,0.6732,0.4805
100818,55,0.3309,0.122
101304,44,0.2599,0.139
101340,11,0.4267,0.2906
101542,17,0.4061,0.2309
101587,62,0.2856,0.1134
101643,37,0.3646,0.1516
101679,12,0.6125,0.2554
102583,5,0.5782,0.4363
102590,5,0.5869,0.4304
102607,28,0.4434,0.1762
103089,80,0.276,0.1053
103237,13,0.4754,0.2611
