group_id,n_features,max_tfidf,mean_tfidf
4005,15,0.3083,0.0047
4013,12,0.6781,0.0037
4015,6,0.9438,0.0021
4022,24,0.2887,0.0059
4042,4,0.7347,0.0024
4055,20,0.3778,0.0052
4078,14,0.4878,0.0045
4112,18,0.3805,0.005
4114,11,0.6319,0.0038
4144,7,0.5376,0.0032
4145,21,0.5397,0.0051
4162,7,0.6478,0.0031
4163,1,1.0,0.0013
4180,9,0.4824,0.0036
4184,9,0.4824,0.0036
4201,4,0.5869,0.0025
4206,12,0.4178,0.0042
4222,1,1.0,0.0013
4239,3,0.8795,0.002
4244,5,0.6779,0.0027
4263,7,0.8102,0.0027
4264,18,0.3915,0.005
4288,18,0.4649,0.0051
4292,10,0.5057,0.0039
4297,6,0.7346,0.0028
4327,18,0.3959,0.0051
4347,2,0.8428,0.0017
4358,10,0.4214,0.0039
4441,8,0.4707,0.0034
4490,5,0.5026,0.0028
4528,3,0.6048,0.0022
4558,8,0.5345,0.0034
4563,14,0.6304,0.004
4581,4,0.6623,0.0025
4587,8,0.5881,0.0032
4645,16,0.4826,0.0047
4658,14,0.4146,0.0046
4669,14,0.3714,0.0045
4685,17,0.3717,0.005
4705,5,0.5443,0.0028
4755,4,0.6024,0.0024
4793,4,0.625,0.0025
4794,21,0.4341,0.0056
4818,27,0.4364,0.0057
4829,9,0.5769,0.0034
4830,6,0.6329,0.003
4839,19,0.4213,0.0051
4860,16,0.5596,0.0045
4866,8,0.5867,0.0033
4893,15,0.3949,0.0047
4902,2,0.7193,0.0018
4924,6,0.5642,0.003
4927,20,0.3974,0.0054
4958,7,0.4605,0.0033
4985,4,0.7238,0.0024
4996,12,0.4678,0.0042
5042,15,0.8535,0.0035
5064,8,0.4749,0.0034
5065,15,0.662,0.0039
5077,20,0.311,0.0053
5080,20,0.5386,0.0052
5082,17,0.4169,0.0048
5104,13,0.708,0.0037
5107,3,0.6848,0.0021
5131,7,0.4822,0.0033
5154,15,0.3024,0.0048
5176,14,0.4252,0.0045
5178,20,0.4463,0.0052
5187,8,0.4829,0.0035
5196,3,0.6327,0.0022
5226,1,1.0,0.0013
5244,13,0.3529,0.0045
5251,19,0.385,0.0054
5270,1,1.0,0.0013
5336,10,0.6875,0.0036
5360,18,0.4792,0.0048
5460,19,0.4097,0.0053
5480,1,1.0,0.0013
5495,4,0.5678,0.0025
5501,8,0.6998,0.0032
5538,2,0.8157,0.0018
5542,11,0.708,0.0036
5545,6,0.6037,0.0029
5600,13,0.7294,0.0037
5601,23,0.5998,0.0044
5616,7,0.503,0.0033
5657,12,0.6329,0.004
5680,16,0.3933,0.0049
5693,13,0.3347,0.0045
5698,4,0.5692,0.0025
5715,20,0.4237,0.0053
5718,20,0.5129,0.0051
5749,7,0.6162,0.0031
5752,3,0.6809,0.0022
5779,18,0.6304,0.0036
5787,21,0.3377,0.0055
5793,1,1.0,0.0013
5815,1,1.0,0.0013
5817,17,0.3485,0.005
5822,8,0.6811,0.0033
5839,11,0.6148,0.0037
5844,4,0.5766,0.0025
5851,18,0.5304,0.005
5853,16,0.3128,0.0049
5896,17,0.3503,0.0051
5921,7,0.5816,0.0032
5929,7,0.6406,0.0031
5953,15,0.4199,0.0047
5968,13,0.6242,0.004
5973,14,0.4238,0.0043
5975,4,0.6455,0.0025
5994,5,0.5473,0.0028
6032,17,0.6105,0.0046
6075,4,0.6116,0.0025
6092,9,0.3729,0.0038
6171,16,0.3496,0.0048
6185,1,1.0,0.0013
6207,5,0.5765,0.0028
6222,4,0.5716,0.0025
6229,3,0.6975,0.0021
6254,5,0.5551,0.0028
6261,9,0.5096,0.0034
6284,6,0.6395,0.0028
6314,7,0.6259,0.0032
6316,14,0.4397,0.0044
6336,25,0.349,0.006
6377,14,0.4827,0.0043
6384,12,0.8525,0.0032
6399,17,0.4674,0.0046
6411,15,0.6474,0.0043
6442,1,1.0,0.0013
6458,8,0.4721,0.0034
6462,5,0.5855,0.0027
6482,8,0.6094,0.0034
6486,15,0.6665,0.004
6506,9,0.4317,0.0037
6525,2,0.8216,0.0018
6569,1,1.0,0.0013
6594,17,0.6999,0.0042
6598,18,0.4332,0.0051
6621,15,0.4013,0.0047
6657,20,0.5229,0.0048
6665,14,0.4088,0.0046
6684,2,0.808,0.0018
6748,4,0.749,0.0024
6792,3,0.7665,0.0021
6828,21,0.4158,0.0055
6843,4,0.7195,0.0024
6847,4,0.6239,0.0025
6862,8,0.5671,0.0034
6866,10,0.3385,0.004
6882,11,0.4308,0.004
6919,8,0.4631,0.0034
6927,7,0.4576,0.0033
6954,7,0.4516,0.0033
6973,4,0.5803,0.0025
6988,4,0.5804,0.0025
7025,4,0.5788,0.0024
7043,11,0.7268,0.0035
7054,7,0.4314,0.0033
7112,1,1.0,0.0013
7135,7,0.4292,0.0033
7138,4,0.6616,0.0024
7146,7,0.4624,0.0033
7224,1,1.0,0.0013
7260,4,0.6904,0.0025
7298,16,0.4478,0.0048
7299,5,0.6111,0.0028
7311,9,0.5467,0.0036
7358,12,0.4063,0.0042
7390,13,0.39,0.0044
7397,2,0.7601,0.0018
7442,12,0.4792,0.0039
7478,14,0.4014,0.0045
7484,7,0.5805,0.0032
7498,8,0.381,0.0036
7531,16,0.3965,0.0047
7540,17,0.4194,0.005
7562,8,0.7164,0.0031
7575,19,0.4789,0.0051
7576,18,0.3964,0.0051
7598,13,0.8282,0.0033
7635,10,0.5822,0.0036
7677,3,0.8763,0.002
7687,16,0.4498,0.0046
7708,1,1.0,0.0013
7737,1,1.0,0.0013
7755,9,0.7061,0.0034
7766,13,0.7404,0.0035
7792,16,0.579,0.0044
7827,6,0.6991,0.0029
7840,7,0.9348,0.0022
7853,12,0.4455,0.004
7869,19,0.6869,0.0045
7920,19,0.4708,0.0045
7975,4,0.677,0.0024
7993,6,0.6526,0.0026
7994,18,0.5017,0.005
8061,5,0.5619,0.0028
8092,15,0.8601,0.0032
8129,7,0.5136,0.0032
8158,3,0.6355,0.0022
8161,18,0.3623,0.0051
8249,21,0.327,0.0055
8287,3,0.5855,0.0022
8297,20,0.4897,0.005
8321,14,0.9246,0.0028
8350,24,0.5335,0.0052
8383,8,0.638,0.0033
8404,4,0.7154,0.0024
8409,16,0.3344,0.005
8504,16,0.3935,0.0049
8559,1,1.0,0.0013
8616,4,0.7504,0.0024
8630,14,0.8851,0.0032
8647,4,0.7687,0.0024
8669,9,0.5755,0.0036
8719,16,0.4199,0.0047
8758,1,1.0,0.0013
8770,19,0.5051,0.005
8794,16,0.3534,0.005
8807,19,0.3331,0.0053
8824,12,0.381,0.0043
8882,1,1.0,0.0013
8905,11,0.4751,0.004
8932,9,0.5586,0.0036
8984,13,0.4154,0.0043
8988,20,0.3601,0.0055
8998,14,0.409,0.0046
9043,4,0.6246,0.0024
9075,7,0.5539,0.0032
9103,15,0.3773,0.0047
9133,12,0.392,0.0043
9184,4,0.6996,0.0024
9336,2,0.8475,0.0017
9359,24,0.3787,0.0058
9521,4,0.5707,0.0024
9547,5,0.5902,0.0027
9548,18,0.3649,0.0052
9555,1,1.0,0.0013
9622,16,0.3207,0.0048
9791,8,0.5728,0.0035
9836,8,0.4923,0.0035
9846,17,0.4954,0.0048
9860,9,0.6285,0.0036
9863,7,0.7508,0.003
9869,16,0.3763,0.0047
9931,8,0.6562,0.0033
9998,12,0.7497,0.0036
10054,3,0.6469,0.0022
10091,8,0.4879,0.0034
10097,13,0.4499,0.0043
10147,14,0.5316,0.0043
10181,31,0.2955,0.0066
10261,16,0.3686,0.0048
10375,19,0.3372,0.0053
10423,16,0.8137,0.0036
10480,4,0.6234,0.0024
10498,16,0.4542,0.0047
10697,4,0.5623,0.0025
10720,19,0.5013,0.0051
10768,4,0.7657,0.0024
10895,6,0.4826,0.003
10897,4,0.584,0.0024
10911,4,0.8032,0.0023
10922,3,0.664,0.0022
10976,11,0.4034,0.0041
10984,11,0.4144,0.004
10987,6,0.4929,0.0031
11017,8,0.429,0.0035
11023,7,0.5827,0.0032
11029,15,0.3677,0.0048
11047,7,0.4723,0.0033
11098,13,0.4005,0.0044
11115,6,0.7223,0.0029
11258,13,0.5197,0.0039
11268,8,0.4391,0.0035
11278,16,0.4665,0.0047
11298,18,0.3913,0.005
11382,20,0.4429,0.0051
11458,9,0.5795,0.0036
11470,15,0.6378,0.0042
11473,7,0.5141,0.0032
11493,3,0.7104,0.0021
11514,14,0.4602,0.0045
11520,11,0.382,0.0041
11613,18,0.3499,0.0052
11635,18,0.3524,0.0052
11664,3,0.6504,0.0022
11730,8,0.5239,0.0033
11745,4,0.6193,0.0025
11781,19,0.358,0.0053
11912,19,0.3702,0.0052
11927,8,0.5633,0.0034
11934,3,0.7052,0.0021
11952,3,0.7367,0.0021
11972,22,0.4253,0.0055
11993,13,0.4137,0.0043
12025,14,0.707,0.004
12045,1,1.0,0.0013
12051,17,0.4452,0.0049
12105,19,0.3647,0.0053
12273,8,0.499,0.0034
12302,20,0.4722,0.0051
12439,14,0.6988,0.0035
12472,8,0.5115,0.0033
12524,7,0.5635,0.0032
12541,8,0.5069,0.0034
12545,4,0.5813,0.0025
12569,19,0.5877,0.0047
12578,7,0.6215,0.0031
12615,15,0.4755,0.0046
12645,23,0.6198,0.0053
12659,7,0.624,0.0031
12672,19,0.502,0.0051
12700,3,0.6842,0.0022
12800,17,0.4999,0.0047
12913,21,0.5152,0.005
12991,4,0.5374,0.0025
13000,10,0.573,0.0037
13015,19,0.3988,0.0052
13043,13,0.8667,0.0031
13050,4,0.8081,0.0023
13104,17,0.5134,0.0046
13124,18,0.3676,0.0052
13133,14,0.4264,0.0045
13157,7,0.5265,0.0032
13230,20,0.3708,0.0053
13231,9,0.5921,0.0036
13238,7,0.6114,0.0031
13276,18,0.3729,0.0052
13296,8,0.4797,0.0035
13318,1,1.0,0.0013
13368,4,0.565,0.0025
13376,9,0.4947,0.0036
13479,11,0.4371,0.0041
13493,11,0.5653,0.0038
13517,3,0.6703,0.0022
13594,18,0.3465,0.0051
13679,16,0.382,0.0048
13721,1,1.0,0.0013
13779,4,0.5716,0.0025
13828,10,0.7422,0.0035
13844,13,0.3889,0.0044
13845,24,0.3084,0.006
13855,23,0.3612,0.0058
13873,18,0.3779,0.0052
13952,4,0.7911,0.0023
14036,7,0.557,0.0032
14052,5,0.591,0.0028
14060,23,0.3223,0.0058
14065,15,0.5578,0.0042
14137,4,0.7491,0.0024
14184,19,0.4643,0.0051
14237,9,0.7091,0.0033
14247,11,0.7082,0.0035
14249,18,0.444,0.0051
14316,7,0.7547,0.0028
14344,20,0.7017,0.0046
14349,29,0.4847,0.0061
14407,8,0.5668,0.0033
14468,22,0.4408,0.0055
14495,12,0.67,0.0038
14509,4,0.5122,0.0025
14628,7,0.4906,0.0033
14629,4,0.5531,0.0025
14670,22,0.4806,0.0055
14684,4,0.6306,0.0025
14690,4,0.5944,0.0025
14706,15,0.3788,0.0047
14870,14,0.3505,0.0046
14922,11,0.8866,0.0028
14996,17,0.5378,0.0048
15027,2,0.7107,0.0018
15038,7,0.6772,0.003
15052,18,0.3602,0.0052
15064,14,0.4917,0.0046
15093,8,0.6297,0.0032
15110,18,0.3187,0.0051
15146,9,0.569,0.0034
15327,2,0.9027,0.0017
15329,7,0.4878,0.0033
15384,2,0.8874,0.0017
15414,6,0.6429,0.0029
15416,16,0.4974,0.0047
