user_1,user_2,similarity
138297,239006,0.6118
138297,1879773,0.6083
173108,1539884,0.4523
173108,653249,0.433
173108,452609,0.4267
173108,2513403,0.3953
173108,159690,0.383
2065043,312649,0.6667
2065043,2240043,0.6236
2065043,1268484,0.6025
2065043,378639,0.5833
2065043,4466662,0.5556
966032,2069181,0.5057
966032,377464,0.4815
966032,1060072,0.4458
966032,628572,0.4423
966032,628161,0.4307
1234399,339543,0.7454
1234399,3293479,0.7107
1234399,2533041,0.7071
1234399,1560189,0.6804
1234399,871311,0.6694
1664499,2053554,0.7303
1664499,1485107,0.6963
1664499,413119,0.6963
1664499,723007,0.6667
1664499,2611695,0.6405
656160,1429275,0.6025
656160,210832,0.5819
656160,1230098,0.5744
656160,3228732,0.5718
656160,1486763,0.5601
1550565,511229,0.5078
1550565,1058568,0.4588
1550565,136361,0.4353
1550565,353335,0.4353
1550565,811647,0.4353
1682093,1930810,0.7115
1682093,704882,0.5
1682093,701411,0.4899
1682093,156424,0.4899
1682093,100035,0.4899
3658110,4110708,0.7
3658110,3659456,0.7
3658110,2358548,0.6674
3658110,2402911,0.6674
3658110,3470737,0.6532
757484,1147762,0.6718
757484,1792106,0.6407
757484,3977412,0.6364
757484,321262,0.625
757484,733741,0.6172
156543,665345,0.54
156543,189702,0.5339
156543,220620,0.5261
156543,1121005,0.5046
156543,602110,0.4997
1664655,2302369,0.779
1664655,1088459,0.7647
1664655,1002301,0.7399
1664655,1313711,0.7233
1664655,599506,0.7059
1203244,1652079,0.7628
1203244,3483386,0.7628
1203244,499811,0.7273
1203244,1461653,0.7273
1203244,437348,0.7252
1209725,1916319,0.4564
1209725,1080501,0.4564
1209725,485314,0.433
1209725,725984,0.4167
1209725,161294,0.4167
274827,1356687,0.6325
274827,2285484,0.5934
274827,1895760,0.5916
274827,259816,0.5809
274827,2607562,0.568
576355,361205,0.669
576355,1574755,0.6674
576355,615221,0.6447
576355,1152543,0.6155
576355,2229836,0.6093
1414490,2726660,0.6495
1414490,3021779,0.6309
1414490,4117122,0.6063
1414490,2067542,0.6063
1414490,802595,0.6035
4199891,4200344,0.9515
4199891,4198824,0.9383
4199891,4200366,0.9358
4199891,4201091,0.9271
4199891,4394272,0.9223
2511990,841244,0.5119
2511990,4312412,0.5119
2511990,2343024,0.5025
2511990,2976380,0.4835
2511990,2034114,0.4767
3355852,1650336,0.6124
3355852,8722,0.5821
3355852,4022706,0.5774
3355852,3262665,0.5774
3355852,1274320,0.5747
1166952,3482393,0.6131
1166952,2598602,0.6118
1166952,2221736,0.6118
1166952,3830208,0.5804
1166952,2280899,0.5804
2214097,2290721,0.7509
2214097,2171257,0.7325
2214097,3100733,0.7263
2214097,1326324,0.7237
2214097,3240206,0.7237
1244970,288233,0.6339
1244970,2204743,0.6211
1244970,739989,0.6172
1244970,3865509,0.5885
1244970,1149087,0.5639
1425128,418873,0.7379
1425128,621759,0.6885
1425128,695002,0.6736
1425128,688125,0.6736
1425128,3105852,0.6736
1326112,1351570,0.4045
1326112,400906,0.4029
1326112,929371,0.3989
1326112,2550077,0.3814
1326112,1132740,0.3814
152301,3514711,0.6572
152301,290556,0.6411
152301,199598,0.616
152301,1428971,0.616
152301,1638627,0.6039
2918935,4403638,0.4992
2918935,1222041,0.4427
2918935,3729467,0.4427
