user_id,n_groups
633288,11.0
121913,17.0
941323,14.0
2161891,17.0
1118601,11.0
567904,23.0
422337,15.0
4113329,10.0
277014,19.0
2288784,19.0
229827,17.0
2514404,11.0
934981,15.0
613437,15.0
1628494,14.0
1764030,12.0
1346349,13.0
1839715,31.0
380105,34.0
2308027,14.0
3188372,10.0
537432,28.0
1038391,25.0
3377062,13.0
1170970,15.0
366734,13.0
921475,11.0
2659629,13.0
601844,26.0
413411,21.0
1250539,10.0
849794,15.0
295180,17.0
718892,11.0
4552232,12.0
1128816,25.0
2422599,11.0
2061704,13.0
3866262,12.0
249031,30.0
2170615,12.0
1706829,18.0
1564009,14.0
16027,34.0
1577990,14.0
1121005,51.0
676909,10.0
3345101,17.0
2501527,15.0
293571,24.0
4439210,45.0
2716479,61.0
1057931,26.0
1231431,9.0
532967,16.0
1267692,12.0
377935,18.0
2817760,16.0
705908,24.0
908905,9.0
2145449,10.0
1612782,30.0
423791,19.0
177966,9.0
1549646,39.0
611966,16.0
3117497,19.0
296177,27.0
880387,19.0
599114,10.0
4601071,14.0
628359,14.0
4337359,10.0
79578,13.0
1303654,41.0
1367109,10.0
2730543,16.0
110394,10.0
2732459,13.0
2109329,14.0
306058,25.0
3667860,12.0
2956709,25.0
593855,15.0
148300,9.0
4538810,18.0
162151,20.0
1122940,29.0
1974066,11.0
2833699,15.0
829507,13.0
2413760,19.0
868196,15.0
1562814,12.0
2971804,11.0
1381872,12.0
2177264,23.0
1026877,13.0
3822336,10.0
289462,15.0
1127708,10.0
1154892,18.0
553436,10.0
546973,62.0
2889181,28.0
1436751,14.0
844658,17.0
2270466,30.0
557374,22.0
1298251,10.0
3351198,21.0
2408167,21.0
510054,49.0
323156,15.0
1270686,10.0
2131301,13.0
2031975,27.0
1960156,11.0
1395324,12.0
929054,16.0
1638271,13.0
935340,14.0
1758446,38.0
1046773,10.0
802651,15.0
1214920,20.0
2794300,34.0
873209,30.0
1732922,17.0
1860021,18.0
194247,9.0
3063764,11.0
2918835,11.0
1129817,14.0
514769,36.0
2405599,14.0
2594392,20.0
2180822,21.0
1917,27.0
400373,35.0
839167,10.0
444258,18.0
1786367,16.0
4406130,10.0
1581626,10.0
260408,28.0
203056,24.0
1611330,24.0
3520633,12.0
390525,24.0
2951,11.0
2654903,12.0
261673,26.0
666556,13.0
439191,32.0
4095138,10.0
4296991,31.0
3085498,10.0
2480986,10.0
3187114,11.0
1569036,11.0
187502,36.0
3105485,10.0
790807,39.0
3363878,17.0
884293,10.0
900615,10.0
1430179,10.0
768890,44.0
643274,43.0
338380,12.0
2075565,30.0
258301,32.0
336087,24.0
130545,34.0
1342490,52.0
7188,26.0
1059987,10.0
1932574,12.0
770654,21.0
4058509,22.0
578202,24.0
3101355,13.0
3432801,13.0
867522,10.0
647408,13.0
3534595,17.0
1665351,17.0
964380,66.0
564309,10.0
185260,78.0
1276788,13.0
2141666,12.0
429719,13.0
1604518,14.0
242289,20.0
912443,12.0
1757555,18.0
2683820,10.0
3236827,19.0
736596,9.0
270614,10.0
2329743,13.0
122860,20.0
1062105,29.0
499811,11.0
3244874,10.0
92087,45.0
956991,27.0
1882611,11.0
2085398,29.0
964979,15.0
3623859,11.0
177166,29.0
371745,11.0
408528,26.0
